V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2027.7329,2033.5874,2035.5665,2014.2748,2057.393,2055.0437,2041.0562,2034.7625,2030.1436,2027.7593,2027.6229,2037.5585,2037.916,2042.9861
3017.163,3027.4873,3028.0813,2993.5432,3054.2869,3054.384,3028.9792,3021.5771,3019.1929,3016.891,3019.4143,3030.826,3031.2305,3038.6392
1150.2991,1149.7362,1148.3551,1135.8856,1161.1229,1159.9674,1154.9835,1144.6587,1147.1628,1144.7561,1144.6534,1150.3252,1148.2092,1152.9581
1367.7788,1359.4354,1344.9052,1333.1381,1371.4233,1374.2297,1379.7148,1341.2871,1338.3225,1343.878,1355.1204,1362.057,1362.438,1364.6654
5846.902,5867.444,5874.644,5813.599,5936.378,5930.225,5891.982,5874.0693,5858.906,5849.3145,5849.208,5874.237,5882.981,5895.2876
3195.7927,3198.8293,3201.058,3174.2642,3240.2463,3243.7922,3221.5886,3208.8975,3195.2583,3195.2896,3199.235,3204.4,3219.6177,3224.5085
4583.0024,4655.9136,4682.93,4597.811,4807.964,4709.9985,4763.3677,4693.292,4597.448,4666.8564,4591.0317,4680.066,4667.3022,4669.2397
1737.7263,1743.6553,1745.1698,1727.3645,1763.4517,1761.6039,1750.6049,1744.6575,1740.4596,1737.5408,1738.4546,1744.9891,1747.8999,1751.7548
1590.9897,1596.3654,1597.7054,1581.4152,1614.4375,1612.7828,1602.5773,1597.2158,1593.4198,1590.858,1591.6686,1597.6776,1600.2341,1603.739
2610.621,2618.328,2624.166,2595.5298,2652.7563,2648.0276,2632.8433,2625.243,2616.46,2612.7952,2609.9976,2623.438,2626.8242,2632.9749
2443.3027,2452.7515,2453.6582,2429.0056,2479.0127,2478.551,2460.045,2453.9165,2447.7305,2445.16,2444.3535,2455.299,2459.0276,2462.2087
3607.449,3620.767,3630.535,3591.2869,3667.8354,3660.7825,3641.437,3630.9634,3617.5388,3611.9763,3609.5266,3628.3818,3630.8203,3638.8018
7077.771,7104.8096,7126.2383,7044.363,7194.01,7183.0444,7145.1797,7122.694,7101.7803,7083.1333,7076.9185,7114.8057,7120.8247,7138.8584
5726.3237,5749.2983,5747.4385,5688.065,5810.0615,5805.774,5773.861,5743.045,5728.473,5715.9326,5724.1167,5742.399,5759.3716,5767.2515
6899.275,6954.2983,6989.128,6925.137,7126.0117,7049.505,7131.887,7031.3433,6944.768,6901.5723,6880.148,6943.263,6981.2944,6988.54
3107.3635,3117.3818,3117.298,3084.9602,3150.397,3149.6008,3123.2095,3115.4822,3110.2583,3107.227,3105.5518,3119.9592,3122.1782,3128.3164
3980.251,3993.5557,4005.0388,3962.4653,4046.9912,4041.0159,4017.976,4006.357,3990.3071,3986.097,3983.3157,4002.259,4006.671,4013.226
9577.8,9610.458,9616.384,9523.064,9719.625,9706.338,9632.07,9613.639,9591.719,9586.204,9587.909,9628.251,9628.678,9650.932
2669.039,2672.3198,2678.301,2651.9626,2713.297,2707.1355,2698.9893,2682.674,2671.849,2665.4802,2665.8472,2678.8013,2683.1084,2691.7305
10897.849,10931.986,10945.608,10827.025,11052.807,11044.245,10948.203,10935.791,10913.709,10916.483,10901.071,10954.354,10951.992,10975.347
2657.7803,2660.9805,2666.8313,2640.6108,2701.7546,2695.6047,2687.6165,2671.1592,2660.5244,2654.1162,2654.4495,2667.3901,2671.6577,2680.3354
2913.3765,2920.232,2921.377,2894.9377,2954.8655,2949.7085,2936.7498,2922.5066,2916.128,2905.9744,2913.9841,2919.512,2927.5159,2939.3652
1944.3542,1948.6221,1950.1705,1932.0598,1970.0364,1967.2816,1954.4393,1949.3481,1947.3163,1943.257,1947.8634,1951.9792,1953.0676,1961.9537
2605.3442,2611.3916,2611.886,2588.4724,2641.9062,2637.6038,2625.546,2612.8418,2607.3877,2598.4102,2605.7935,2610.4802,2617.6873,2628.136
1613.3721,1616.366,1617.3606,1602.1334,1633.9816,1631.981,1621.0667,1616.4133,1614.8646,1611.2235,1615.1322,1618.707,1619.6123,1626.9755
2421.096,2426.0142,2426.5925,2404.3884,2454.7542,2450.7664,2439.6873,2427.2317,2422.059,2413.2925,2420.0093,2424.8633,2431.4194,2441.2769
