V1,V2,V3,V4,V5,V6,V7,V8
5993.641,6034.794,5674.786,5677.0938,5430.537,5465.436,5144.4507,5061.7803
6173.32,6232.882,5859.315,5860.2607,5595.3823,5640.4746,5311.156,5216.4873
6337.4365,6413.077,6014.7993,5998.862,5726.483,5773.7764,5432.0415,5308.1685
6748.915,6817.204,6408.2534,6416.174,6132.431,6183.4717,5817.579,5723.003
1045.567,1030.0764,1005.96686,1024.3346,955.8915,951.0485,921.19714,945.1485
8689.7705,8725.614,8241.642,8306.557,7969.212,8020.968,7553.4688,7519.7
2982.1824,2998.1382,2828.0884,2848.3726,2733.0671,2751.1487,2587.9697,2573.319
2299.3572,2306.155,2179.6406,2197.8157,2107.7786,2120.2249,1997.6602,1991.3926
2212.614,2223.067,2098.626,2113.9941,2027.3665,2040.1849,1920.6708,1910.8572
2275.7102,2289.3665,2160.2812,2172.1807,2080.9866,2095.463,1974.0896,1957.7579
1033.058,1039.5474,979.3209,984.61664,944.4904,951.0731,894.64624,886.6928
2900.6824,2883.407,2747.1558,2777.2153,2655.1252,2658.2446,2519.727,2535.7446
1571.6887,1576.7395,1490.1464,1505.519,1447.4818,1457.6803,1372.0962,1369.5256
10808.75,10809.99,10227.999,10357.127,9977.36,10034.284,9438.309,9470.249
1155.4125,1162.2493,1105.1202,1113.9187,1060.3821,1067.6274,1013.2505,1007.1879
1817.7118,1809.8292,1723.2953,1748.0939,1677.3055,1686.4711,1597.384,1610.418
2166.695,2176.4326,2055.4084,2076.7537,1994.8298,2008.2969,1888.1313,1886.2852
4288.687,4289.5186,4068.587,4076.7087,3893.5667,3916.8425,3723.1318,3685.5347
4979.023,4986.45,4719.0327,4768.879,4580.5347,4609.225,4341.8965,4343.198
5556.6523,5573.714,5266.6123,5318.0464,5106.228,5137.5615,4834.2207,4829.795
8547.747,8568.044,8102.706,8180.786,7848.584,7895.5747,7436.4893,7430.9473
4567.869,4596.3296,4356.293,4402.8926,4217.263,4246.2305,4001.3542,4002.6533
5330.581,5345.551,5058.8867,5101.227,4886.8633,4915.0127,4636.221,4622.429
2095.6897,2107.2664,1989.0472,1999.8082,1916.3433,1930.1642,1819.1555,1804.6644
1231.7255,1239.4697,1169.7445,1174.5989,1124.8917,1133.7083,1069.2036,1058.9978
7113.6167,7122.9185,6823.369,6969.9946,6561.8096,6523.1045,6155.6304,6281.5967
8262.999,8303.706,7842.2197,7882.9697,7559.775,7609.584,7169.134,7115.1216
4395.9805,4419.41,4160.1294,4199.197,4046.229,4075.957,3821.352,3803.212
1682.9794,1689.2601,1590.0942,1601.2471,1538.283,1547.5834,1454.1465,1445.2145
2772.4575,2797.1501,2630.2834,2644.8635,2537.5964,2557.1619,2401.1765,2376.5679
2231.4792,2251.824,2122.4756,2134.8203,2044.8433,2061.8972,1939.483,1922.6262
4143.728,4145.217,3910.916,3948.9165,3797.2874,3817.26,3589.8774,3583.5256
7371.294,7421.179,6997.894,7048.1714,6764.9272,6817.9624,6412.3057,6366.6694
6423.981,6472.982,6105.2656,6142.7627,5888.274,5937.5557,5588.5566,5541.9966
9020.067,9098.424,8568.167,8620.953,8271.63,8345.999,7846.1875,7764.3335
8069.0845,8110.0415,7652.6875,7712.826,7410.556,7457.1914,7009.938,6975.0996
3944.9543,3965.1545,3740.318,3776.518,3628.6394,3652.269,3429.413,3417.8843
5678.0522,5715.4434,5394.599,5439.6274,5224.0366,5257.372,4938.87,4922.8384
5160.8174,5192.6646,4952.937,4970.8467,4714.3843,4761.3896,4541.69,4509.912
4644.168,4677.093,4410.166,4443.0645,4260.929,4293.493,4037.9062,4009.914
1707.628,1716.3049,1619.4722,1630.7863,1566.5587,1577.2866,1484.1832,1475.3306
1886.8403,1892.7478,1786.4324,1800.4543,1732.5593,1743.6144,1640.2822,1634.4711
4799.0273,4832.717,4558.094,4596.996,4408.3354,4441.174,4174.529,4151.8965
1144.4115,1152.1671,1085.3407,1094.016,1051.914,1059.8783,995.31226,988.92
1717.3949,1726.4747,1628.5194,1638.7307,1573.4896,1584.2775,1491.0599,1480.6372
2999.2073,3018.4644,2847.77,2867.8003,2744.9724,2767.4602,2608.3364,2587.0332
8668.303,8737.637,8237.807,8298.983,7959.185,8023.2363,7543.4683,7492.617
1246.1189,1248.4613,1180.6285,1192.2477,1144.4879,1151.2532,1085.1343,1082.9935
7931.375,7995.005,7538.897,7592.6094,7282.97,7349.582,6914.3506,6861.3228
8270.157,8346.255,7867.7935,7923.4937,7596.381,7666.3784,7208.722,7149.3594
