V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
669.4161,656.8583,632.0088,574.76843,620.0674,645.5324,601.8047,641.8356,658.7844,715.45264,653.0433,673.5906,693.0502,661.3479,687.31964,703.1714,672.6399,736.7079,627.3759,695.6067,671.16235,684.51056,617.42236,667.3867,659.0811,635.39154,674.69775,654.42126,625.8048,631.027,682.57184,592.03345,625.24066,658.92944,649.9033,685.434,701.8893,678.5441,655.59796,701.139,677.0079,656.8995,727.00574,697.8591,704.2992,656.2273,680.4714,622.5944
2992.024,2907.6694,2819.8767,2525.567,2708.978,2858.5505,2646.3672,2858.993,2915.8252,3189.5295,2889.052,2950.7456,3060.083,2887.8992,3034.813,3104.3647,2974.7563,3286.6887,2729.664,3109.87,3005.0605,3037.4663,2693.7993,2976.221,2966.2637,2840.7341,3009.0242,2917.2036,2806.4387,2801.9883,3032.5093,2611.7778,2779.1746,2924.893,2874.3203,3040.2856,3123.938,3008.557,2888.5823,3118.8894,2985.4478,2894.4868,3235.7217,3120.6409,3153.1162,2925.0073,3040.597,2724.301
1120.7809,1107.8092,1069.3656,984.3574,1042.7466,1091.4349,1023.2428,1090.8623,1107.2571,1196.688,1101.7347,1129.6305,1161.4165,1109.488,1147.9302,1175.54,1126.9487,1231.9902,1054.1987,1167.6296,1135.7021,1143.7974,1038.8811,1116.8567,1110.7354,1078.9055,1125.9299,1094.477,1061.0549,1062.5605,1138.3451,1010.54956,1063.3087,1110.5881,1096.3933,1152.9097,1179.5923,1143.4885,1109.2201,1177.4272,1134.4944,1100.24,1209.7056,1170.0002,1180.2648,1104.2753,1137.7671,1049.8275
4917.9863,4808.285,4652.82,4150.656,4412.0044,4730.4683,4318.827,4726.3535,4764.511,5266.8184,4708.512,4786.713,4987.5303,4660.252,4914.8223,5064.9087,4833.06,5448.5625,4387.265,5133.9814,4995.911,5001.4746,4370.0693,4904.6074,4932.7734,4731.2876,4981.5176,4822.3013,4668.692,4623.063,5002.1084,4296.0117,4597.032,4812.6523,4699.8457,4991.445,5146.8223,4921.9756,4722.1714,5132.7427,4863.6533,4689.1,5325.579,5144.9517,5227.8613,4822.4966,5018.0117,4430.027
2598.2031,2554.4316,2415.8738,2099.9468,2306.7485,2488.3032,2189.5742,2445.369,2469.8572,2797.1216,2418.9622,2485.941,2612.3105,2403.0476,2558.2212,2675.0078,2497.5635,2936.04,2237.1042,2722.2556,2635.3896,2673.945,2273.877,2603.8716,2602.1077,2483.8152,2683.7058,2579.0479,2449.6882,2424.2424,2693.811,2181.3494,2374.3853,2517.1306,2419.9504,2609.3882,2703.6318,2535.8555,2416.6265,2704.44,2546.918,2421.4624,2868.7632,2720.541,2795.0208,2528.5486,2676.9111,2303.0708
5786.0635,5828.9854,5767.9336,5854.413,5902.008,5864.982,6043.4233,5958.875,6116.9414,6114.835,6237.88,6409.67,6358.214,6455.5337,6335.1206,6302.27,6291.1484,6089.5874,6325.1206,5970.005,5872.075,5869.584,5979.7256,5720.3105,5615.38,5662.238,5558.7617,5510.832,5520.507,5669.351,5699.787,5899.7427,5877.875,5979.751,6161.4365,6228.086,6226.679,6361.5605,6375.338,6197.491,6230.9277,6214.547,6034.422,5999.67,5881.535,5843.8076,5743.406,5993.7134
38281.85,37872.273,36294.633,32761.271,34942.97,37179.35,33979.742,36975.188,37292.5,41101.152,36873.188,37745.23,39149.184,36797.535,38492.84,39807.195,37774.582,42633.824,34704.688,40056.49,38979.383,39204.016,34623.83,38276.125,38259.63,36976.07,38927.33,37701.094,36371.008,36187.566,39226.715,33783.47,36003.12,37712.383,36819.78,39087.76,40179.867,38465.574,37072.133,40112.5,38209.9,36749.555,41642.914,40080.758,40739.15,37621.965,39107.484,35075.9
30007.24,29511.967,28628.842,26607.434,28278.04,29161.035,27803.05,29148.293,29930.68,31935.227,29872.479,30747.055,31421.053,30363.547,31204.871,31696.93,30637.371,32671.662,29002.127,31116.422,30130.96,30573.695,28284.219,29835.996,29453.623,28608.508,29909.87,29122.617,28151.93,28441.79,30320.56,27285.615,28458.691,29773.555,29644.797,30990.64,31596.324,30892.508,30072.252,31542.664,30699.402,29987.453,32291.734,31216.852,31331.492,29565.68,30342.852,28481.773
36171.668,35426.82,34477.875,31597.215,33391.82,34983.562,32948.062,35094.227,35724.38,38541.49,35570.25,36320.953,37393.863,35694.46,37062.41,37781.426,36450.273,39522.46,33952.508,37594.484,36506.938,36720.336,33292.01,35963.816,35846.39,34649.062,36153.29,35175.594,34143.996,34181.42,36512.094,32516.23,34204.59,35727.707,35361.586,37122.133,37996.645,36931.574,35737.094,37898.145,36505.734,35540.543,38873.29,37715.984,37969.316,35598.277,36644.36,33633.156
412.62506,407.75018,400.2576,379.67114,390.68558,405.56528,393.24435,409.9855,415.3938,437.94513,417.49054,424.29022,432.72012,420.2393,428.78613,434.07947,424.06958,445.14508,403.43304,428.1536,419.7407,417.2929,391.58905,409.0277,408.78278,400.7995,406.6636,397.97803,393.62823,394.61212,411.41006,387.82858,401.37073,413.24255,414.2605,429.46057,436.9762,431.01102,421.88794,435.08755,423.05484,414.62894,437.3971,429.79993,429.39734,410.0332,415.11554,395.15033
