V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
38087.3,38189.684,37888.836,38108.207,38103.1,38230.332,38338.184,38213.57,38304.277,38237.91,38256.668,38132.145,38193.95
3800.6636,3819.738,3781.7346,3802.382,3812.8066,3818.5686,3830.477,3814.8005,3828.1624,3819.9226,3822.4104,3804.338,3811.088
9686.238,9703.721,9656.691,9685.192,9702.867,9722.834,9750.889,9744.694,9754.034,9744.02,9735.061,9693.702,9711.196
2358.952,2318.125,2322.3743,2357.3704,2327.2258,2353.7356,2342.7544,2356.3801,2351.9258,2348.4336,2350.9587,2360.3552,2340.8733
1711.5403,1624.2574,1695.4089,1676.7013,1672.3887,1656.3514,1633.6154,1553.1995,1639.9882,1676.0275,1583.8973,1653.1659,1663.6024
571.4636,586.16785,554.34045,568.00775,595.095,556.80756,607.02374,591.42474,590.6829,578.1638,578.954,574.39746,568.03595
2882.2659,2779.4827,2833.6296,2852.3171,2835.411,2793.48,2905.5786,2873.9397,2830.324,2848.0051,2780.5955,2857.4258,2916.563
2334.9053,2327.7776,2396.3103,2353.6296,2438.8374,2335.6924,2272.4854,2165.8225,2237.4155,2310.903,2224.117,2231.4402,2320.037
6148.075,6191.322,6244.479,6172.101,6294.5664,6238.495,6159.735,6145.23,6159.793,6173.6436,6096.9453,6137.3403,6128.179
4998.8765,4992.112,4978.1636,5000.0176,4970.5615,5010.173,5048.373,5071.54,5054.1245,5047.2124,5050.872,5025.389,5006.4893
402.60516,400.06107,396.95062,401.83582,408.02728,403.57095,392.374,381.03357,389.0886,395.38785,385.7605,390.81143,400.5732
1059.5919,1057.9668,1055.9758,1061.1908,1054.983,1063.0868,1063.0435,1064.0721,1063.4678,1066.0809,1059.9045,1063.6884,1059.2336
2227.3247,2222.1487,2234.6445,2236.2302,2215.091,2230.794,2237.6748,2252.4148,2246.7368,2243.807,2233.8655,2251.1646,2233.5686
2238.595,2228.3987,2244.8127,2240.2627,2227.5774,2237.1797,2251.462,2261.402,2256.4458,2255.4573,2240.9749,2254.816,2235.9802
3612.9194,3538.6516,3714.6755,3645.2957,3507.4004,3577.2017,3659.256,3745.1794,3665.7905,3670.8298,3580.5454,3741.471,3595.2974
3612.9194,3538.6516,3714.6755,3645.2957,3507.4004,3577.2017,3659.256,3745.1794,3665.7905,3670.8298,3580.5454,3741.471,3595.2974
12091.522,12112.271,12063.64,12109.014,12078.812,12128.676,12201.243,12221.194,12215.082,12190.119,12183.888,12164.365,12124.631
4462.468,4490.948,4470.7363,4479.5664,4486.316,4482.9023,4483.385,4467.612,4493.1187,4480.937,4467.6963,4490.279,4477.9067
3022.291,2933.4915,3033.0408,3048.119,2966.691,2960.7446,3026.7993,3019.5642,2929.5684,3037.7395,2930.1028,3038.979,3061.5615
4499.0454,4347.31,4442.974,4465.8364,4453.9414,4386.6123,4516.8984,4507.1694,4469.511,4531.376,4429.222,4463.1226,4488.2983
2050.8843,1981.1292,2056.8772,2053.1418,2003.502,1998.7089,2039.5632,2019.843,2032.8435,2035.6803,1973.1117,2060.1619,2088.505
3651.1633,3603.7476,3531.4407,3579.6306,3671.5593,3498.8152,3746.5461,3719.154,3788.0847,3719.1672,3679.0183,3703.739,3528.5908
822.26154,814.6187,816.2633,818.58014,812.4859,823.46313,837.2338,840.5933,834.08185,822.5938,825.6152,834.50244,828.973
6717.8745,6437.597,6691.1987,6682.9644,6427.274,6530.0884,6720.2495,6720.308,6644.736,6686.0576,6471.7744,6830.222,6695.016
1032.9907,1017.7495,1044.4456,1030.9763,1024.5388,1023.5981,1027.8457,1017.84717,1039.3252,1034.1478,1006.34955,1031.2303,1031.3633
3013.8281,2895.1768,2960.0833,2976.322,2988.5999,2912.1033,2984.088,3002.5378,2988.9644,3068.8157,2955.4705,2981.1174,2973.8486
2237.0938,2043.4742,2176.3162,2250.0242,2193.8806,2037.4841,2206.2449,2250.7234,2093.1216,2266.3306,2081.548,2140.7122,2243.2144
3398.764,3375.144,3624.1042,3593.2002,3479.871,3292.846,3611.745,3659.28,3321.9746,3421.8262,3292.783,3621.1533,3641.3394
649.9522,658.6332,658.4751,658.8542,657.85925,648.25116,667.81354,660.9563,650.54126,645.1554,648.21625,658.68115,652.5398
3731.9675,3789.4453,3697.4983,3670.9246,3814.0437,3686.4536,3852.6519,3787.5574,3883.6292,3789.108,3810.574,3778.088,3661.2236
777.48944,712.91565,777.80804,774.86554,739.15094,738.4286,723.307,721.3289,749.86615,772.9373,703.628,776.3241,744.1733
4009.859,3742.522,3951.0518,3909.8577,3901.6558,3805.8064,3937.954,3914.4314,3902.3784,4001.4983,3822.082,3859.04,3960.8784
1518.4698,1497.2976,1496.8319,1488.7678,1518.382,1546.3977,1482.5338,1424.9205,1474.018,1467.2294,1440.3488,1461.8798,1504.8042
1120.7452,1109.6982,1134.564,1127.3661,1129.1866,1121.1007,1098.747,1076.7996,1090.7305,1115.8884,1078.5172,1101.9225,1114.225
1130.9316,1094.7382,1120.6538,1141.4329,1138.2535,1125.5774,1085.2692,1066.0072,1046.1543,1115.2535,1074.732,1073.629,1140.3556
15988.107,16006.276,16112.296,16135.698,15854.637,15881.294,15996.162,15938.511,16241.573,16319.168,15981.098,16379.861,15675.407
2893.1802,2899.7444,2894.851,2898.4204,2897.4949,2901.3745,2906.5002,2893.9087,2899.5286,2900.773,2892.1953,2896.1145,2898.7146
3175.8472,3181.2634,3170.0364,3179.1885,3179.1055,3185.0173,3191.3164,3179.4382,3183.4614,3181.367,3177.8137,3178.0195,3180.7476
5711.3916,5728.3647,5714.5537,5726.8374,5711.855,5734.6465,5751.8066,5759.9263,5759.1343,5754.059,5744.589,5741.9224,5728.6646
5705.9087,5723.238,5709.3413,5721.397,5706.407,5729.5615,5746.341,5754.3354,5753.889,5748.442,5739.415,5736.6357,5723.2544
6259.7847,6271.11,6242.5586,6269.5483,6252.795,6281.1406,6305.137,6316.0684,6311.8833,6297.4067,6301.1025,6288.877,6274.0596
6271.858,6282.309,6253.9614,6281.49,6264.736,6292.2764,6317.148,6328.346,6323.4136,6309.744,6312.4346,6300.473,6285.922
6265.821,6276.71,6248.259,6275.519,6258.7646,6286.7095,6311.142,6322.207,6317.6465,6303.5747,6306.769,6294.6733,6279.9907
5700.4204,5718.1113,5704.1313,5715.955,5700.9585,5724.4727,5740.8745,5748.7446,5748.6436,5742.8237,5734.2427,5731.3496,5717.8438
2970.9976,2980.5469,2959.0903,2977.7214,2969.8997,2984.4592,2981.7646,2978.8337,2980.693,2972.0237,2977.7083,2977.8057,2981.4812
3315.128,3339.5698,3328.6091,3330.9744,3325.134,3329.4993,3353.255,3355.4739,3347.928,3345.7053,3349.2234,3341.7297,3331.0962
2969.8142,2979.4165,2958.0554,2976.6067,2968.6943,2983.3362,2980.6536,2977.7466,2979.555,2970.8416,2976.532,2976.6982,2980.4175
3027.8838,3045.0898,3029.6887,3035.9282,3037.449,3033.8567,3049.1802,3036.2222,3043.6594,3050.7258,3042.1382,3030.3293,3032.4624
3313.846,3327.1558,3301.3535,3322.915,3312.1672,3331.488,3327.0554,3323.6152,3326.6863,3316.1738,3322.7454,3324.0952,3329.6655
3315.1653,3328.416,3302.5056,3324.156,3313.5112,3332.7395,3328.294,3324.8254,3327.9543,3317.492,3324.0547,3325.3296,3330.8528
6687.7603,6742.158,6706.7114,6715.3354,6721.4,6707.8633,6783.7554,6772.414,6776.0254,6756.4478,6752.697,6749.9634,6723.9487
7341.834,7371.395,7330.6646,7358.4917,7357.707,7355.229,7433.395,7426.7505,7427.3438,7402.388,7400.0737,7400.3726,7371.178
1708.639,1724.0762,1725.5464,1713.1862,1701.1708,1715.758,1740.2776,1740.7203,1750.5427,1735.9879,1730.1244,1733.5916,1718.5515
2551.0876,2557.111,2548.204,2558.533,2549.7808,2560.1716,2568.6226,2567.8643,2567.3591,2563.026,2561.781,2564.4045,2562.321
4685.43,4609.9893,4660.2305,4669.969,4607.797,4685.9897,4669.157,4684.154,4686.2305,4683.8413,4635.2773,4705.444,4653.85
2283.3481,2350.0698,2341.3513,2326.2454,2316.8494,2322.515,2344.6484,2397.2905,2363.3687,2355.4617,2372.5862,2340.3442,2326.9065
2387.6797,2406.9067,2374.9387,2396.4988,2390.7627,2402.031,2428.3918,2451.866,2438.7773,2435.675,2451.5042,2411.6929,2404.373
3814.4163,3801.1948,3773.9395,3809.5818,3806.893,3821.5857,3839.1487,3827.501,3839.911,3811.0608,3814.3044,3832.071,3822.348
2095.405,2110.318,2053.5974,2143.679,2107.7998,2089.1162,2072.3281,2145.7476,2166.8687,2179.9631,2113.619,2151.664,2161.4043
9073.014,9108.423,9064.026,9086.31,9081.386,9116.421,9150.929,9155.237,9175.005,9136.941,9133.821,9135.296,9099.089
10318.771,10530.043,10400.833,10323.541,10379.924,10444.413,10532.396,10452.334,10580.067,10373.9375,10511.55,10454.438,10404.401
7127.4336,7140.9185,7113.197,7156.2095,7120.981,7164.424,7161.1846,7186.9336,7188.2,7182.7046,7167.6875,7178.9717,7153.646
6095.31,6143.636,6103.517,6121.5806,6101.0664,6144.0166,6158.3843,6164.9233,6182.6963,6137.5845,6159.5137,6160.742,6130.7188
13319.417,13403.444,13402.179,13462.096,13242.096,13337.22,13447.701,13538.15,13536.443,13466.525,13427.162,13631.272,13360.893
18708.074,18806.312,18801.182,18884.266,18615.568,18736.928,18871.893,18976.936,18975.016,18892.865,18839.994,19083.293,18763.236
7371.1553,7384.538,7348.0522,7367.609,7387.7544,7398.9004,7422.3784,7418.613,7423.373,7417.8564,7411.5537,7371.43,7390.359
13083.726,13157.274,13096.339,13156.477,13096.08,13150.347,13238.311,13303.571,13269.086,13230.46,13240.7,13227.331,13178.007
7158.829,7176.031,7138.259,7166.213,7157.2295,7189.2183,7187.6133,7156.0845,7195.697,7175.1465,7160.2705,7182.3716,7173.407
7153.611,7178.1226,7140.0693,7163.4478,7159.825,7184.051,7190.67,7159.4507,7195.562,7173.059,7160.201,7182.1772,7173.47
2654.9858,2659.335,2647.4236,2659.7874,2653.4646,2664.1077,2669.1802,2665.6853,2670.777,2668.9224,2662.9172,2663.9028,2661.9243
2142.1514,2139.4998,2136.2683,2145.5808,2137.638,2150.8481,2143.4712,2106.2537,2110.063,2112.1897,2110.4207,2133.2678,2146.4526
2142.145,2139.4333,2136.2366,2145.5403,2137.5981,2150.784,2143.4302,2106.1719,2110.0305,2112.166,2110.3271,2133.2153,2146.4175
2142.1514,2139.4998,2136.2683,2145.5808,2137.638,2150.8481,2143.4712,2106.2537,2110.063,2112.1897,2110.4207,2133.2678,2146.4526
3482.3745,3482.4749,3605.578,3561.8943,3418.1238,3513.8928,3520.8284,3630.3823,3567.9387,3520.6125,3514.509,3640.5889,3523.0874
24790.512,24765.73,24713.148,24798.994,24774.707,24844.828,24992.613,25022.441,24970.791,25028.79,24945.479,24859.25,24801.318
840.02014,831.83356,815.30066,831.55695,829.3765,848.74756,828.1195,814.6029,825.6505,822.30225,823.82477,824.84283,831.5777
