V1,V2,V3,V4,V5,V6
7909.114,8392.602,6344.9736,5366.2676,4723.626,5077.149
1488.3278,1559.1628,1109.1643,828.4062,656.57306,851.32306
8662.706,9186.081,7127.9375,6248.695,5466.402,5955.557
9983.155,10586.007,8189.3477,7155.1455,6247.172,6825.168
6865.004,7253.97,5732.254,5164.461,4544.296,4977.7285
3896.9883,4114.272,3190.2986,2801.1177,2403.4995,2725.7441
3521.1377,3719.324,2852.732,2461.6316,2089.2307,2398.8857
2558.1711,2716.147,2044.6255,1707.8397,1489.501,1620.7145
2388.1711,2535.191,1929.043,1638.3408,1424.3209,1557.7994
2399.3809,2548.5552,1927.0675,1616.8593,1394.1073,1538.7147
1548.5916,1644.0852,1247.0187,1054.4974,915.8653,1002.69305
2007.0194,2129.0308,1645.853,1431.2496,1246.6288,1366.4287
4966.376,5257.183,4127.994,3685.2358,3269.0437,3510.3125
5362.236,5683.454,4422.4478,3885.019,3427.103,3686.9456
5571.7104,5904.2383,4623.426,4090.1714,3587.5422,3890.0396
2842.2349,3010.242,2342.6707,2070.9744,1857.2897,1965.1393
4039.7495,4280.3955,3356.0474,2981.1697,2645.3066,2836.5684
3449.6604,3655.5605,2840.9888,2498.7412,2226.072,2370.0063
2742.1975,2891.3896,2289.7983,2071.8416,1764.7689,2022.2424
6577.353,6977.614,5307.9985,4525.3486,3895.8735,4323.8247
9113.125,9604.091,7349.407,6396.1406,5461.142,6257.5996
4157.311,4378.4834,3316.069,2829.2393,2360.7368,2799.381
9638.306,10225.105,7551.7544,6132.774,5080.7407,5915.8696
8667.285,9164.298,6856.5815,5693.9004,4733.4404,5565.879
2314.4546,2442.6748,1859.4438,1598.4373,1358.5029,1563.7916
7002.1665,7374.6763,5538.499,4666.5073,3858.6353,4613.743
1699.755,1792.551,1353.0717,1147.5894,960.43536,1129.5779
1673.0708,1767.3665,1328.1188,1115.1827,928.8307,1091.744
4270.8267,4534.8643,3439.5815,2900.72,2492.7769,2763.7927
4518.479,4792.9,3714.948,3238.2476,2826.1587,3088.5618
3919.333,4164.262,3143.3904,2628.211,2277.391,2498.465
5559.5513,5901.309,4495.248,3820.9453,3309.042,3638.097
1306.5574,1386.6754,1064.4022,916.03375,800.65186,872.21844
1740.447,1847.5829,1413.3496,1208.7756,1053.0656,1150.9763
3431.5815,3641.943,2792.5305,2396.6672,2074.4883,2284.9902
1201.6381,1276.0874,969.3717,820.75586,711.17664,780.88104
4013.0117,4259.5366,3258.4536,2785.6843,2401.067,2656.695
6375.536,6772.2188,4850.5996,4438.9624,3804.4849,3911.4023
3843.8916,4071.704,3249.0903,2988.2642,2687.3042,2860.7598
4919.9917,5210.525,4094.0967,3673.9287,3256.507,3500.139
15505.913,16435.094,12757.394,11233.183,9950.832,10669.752
5523.3647,5809.9536,4588.3105,4178.2163,3649.2449,4087.03
2847.873,3001.932,2374.5938,2156.4495,1892.8579,2092.2563
10298.641,10900.744,8576.427,7697.443,6799.0283,7369.9253
10368.106,10986.228,8569.23,7584.46,6672.96,7235.6396
